#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
5PTASE11	DRIP1	3702.AT1G47510.1	3702.AT1G06770.1	0	0	0	0	0	0	0	0.620	0.620
5PTASE11	AT4G38280	3702.AT1G47510.1	3702.AT4G38280.1	0	0	0	0	0	0	0	0.639	0.639
5PTASE11	ABCF4	3702.AT1G47510.1	3702.AT3G54540.1	0	0	0	0	0	0	0	0.639	0.639
5PTASE11	INDH	3702.AT1G47510.1	3702.AT4G19540.1	0	0	0	0	0	0	0	0.753	0.753
ABCF4	DRIP1	3702.AT3G54540.1	3702.AT1G06770.1	0	0	0	0	0.042	0	0	0.516	0.516
ABCF4	INDH	3702.AT3G54540.1	3702.AT4G19540.1	0.059	0	0	0	0	0	0	0.639	0.645
ABCF4	AT4G38280	3702.AT3G54540.1	3702.AT4G38280.1	0	0	0	0	0	0	0	0.753	0.753
ABF3	DRIP1	3702.AT4G34000.1	3702.AT1G06770.1	0	0	0	0	0	0	0	0.430	0.430
ABF3	ABI5	3702.AT4G34000.1	3702.AT2G36270.1	0	0	0	0.738	0	0.748	0	0.917	0.808
ABF3	DREB2B	3702.AT4G34000.1	3702.AT3G11020.1	0	0	0	0	0	0	0	0.621	0.621
ABF3	ABI3	3702.AT4G34000.1	3702.AT3G24650.1	0	0	0	0	0	0	0	0.816	0.817
ABF3	SDIR1	3702.AT4G34000.1	3702.AT3G55530.1	0	0	0	0	0	0	0	0.628	0.628
ABF3	AIP2	3702.AT4G34000.1	3702.AT5G20910.1	0	0	0	0	0	0	0	0.549	0.549
ABF3	AT4G38480	3702.AT4G34000.1	3702.AT4G38480.1	0	0	0	0	0	0	0	0.592	0.592
ABF3	KEG	3702.AT4G34000.1	3702.AT5G13530.1	0	0	0	0	0	0.543	0	0.638	0.827
ABF3	DREB2A	3702.AT4G34000.1	3702.AT5G05410.1	0	0	0	0	0	0	0	0.855	0.855
ABI3	RING1B	3702.AT3G24650.1	3702.AT1G03770.2	0	0	0	0	0	0	0	0.426	0.426
ABI3	DRIP1	3702.AT3G24650.1	3702.AT1G06770.1	0	0	0	0	0	0	0	0.441	0.441
